,text,served_dish,facility,timeRange,spatial_relation,restaurant_type,party_size_number,sort,cuisine,city,country,party_size_description,poi,restaurant_name,state
1577,reserve a table at Bear Hotel  around  Finsbury Park,,,,around,,,,,,,,Finsbury Park,Bear Hotel,
1578,book australian food in Armour for 7 pm for four at a pub  best rated in UT,,,7 pm,,pub,four,best rated,australian,Armour,,,,,UT
1579,Get me a table for 2 people 1 second from now in Tunisia .,,,1 second from now,,,2,,,,Tunisia,,,,
1580,"I need to book a table at Bridge Round House in South Dakota for me, emily and gena",,,,,,,,,,,"me, emily and gena",,Bridge Round House,South Dakota
1581,book a brasserie for 3,,,,,brasserie,3,,,,,,,,
1582,I'd like to go to a cuban  restaurant in Horatio and get a table for 1,,,,,restaurant,1,,cuban,Horatio,,,,,
1583,Book a restaurant for 9 people.,,,,,restaurant,9,,,,,,,,
1584,Reserve me a table for 10 at a MT  cafe for breakfast .,,,breakfast,,,10,,,,,,,cafe,MT
1585,"Make a reservation in a popular  sicilian  bar place nearby , for me only, tomorrow",,,tomorrow,nearby,bar,,popular,sicilian,,,,,,
1586,Book a restaurant for a party of 7 in Paraguay on Saturday,,,Saturday,,restaurant,7,,,,Paraguay,,,,
1587,I need to book a table at a nearby  restaurant,,,,nearby,restaurant,,,,,,,,,
1588,I want to make a reservation at the Conflict Kitchen for one ,,,,,,one,,,,,,,Conflict Kitchen,
1589,"Book a table at Central Grocery on Mar. 22nd, 2020",,,"Mar. 22nd, 2020",,,,,,,,,,Central Grocery,
1590,I'd like to book a place to eat in NY .,,,,,,,,,,,,,,NY
1591,Book a restaurant with pool facility at East Gillespie,,pool,,,restaurant,,,,East Gillespie,,,,,
1592,"Book a reservation for 7 people at The French Laundry on june the 8th, 2029",,,"june the 8th, 2029",,,7,,,,,,,The French Laundry,
1593,Book a brasserie in the Falkland Islands for this week .,,,this week,,brasserie,,,,,Falkland Islands,,,,
1594,Can you get me seating for 5 at a highly rated  restaurant in Wisconsin,,,,,restaurant,5,highly rated,,,,,,,Wisconsin
1595,my sons and I want to dine at The Water Club in Georgia,,,,,,,,,,,my sons and I,,The Water Club,Georgia
1596,Book me a popular  restaurant reservation at a brazilian  delicatessen,,,,,delicatessen,,popular,brazilian,,,,,,
1597,book a spot at a restaurant with trattoria in Otho  DE,,,,,restaurant,,,trattoria,Otho,,,,,DE
1598,I need a reservation for two at a diner in Venezuela,,,,,diner,two,,,,Venezuela,,,,
1599,Book a restaurant  far from Kokomo  this fall .,,,this fall,far,restaurant,,,,Kokomo,,,,,
1600,"I'd like to book at a place in AR , looking for an oyster bar that is indoor and can accommodate a party of eight that is also within walking distance .",,indoor,,within walking distance,oyster bar,eight,,,,,,,,AR
1601,Book me a table for me and my nephew  near  my location at an indoor  pub,,indoor,,near,pub,,,,,,me and my nephew,my location,,
1602,I want to book a table for me and josefa at Jacob Wirth Restaurant in Branford .,,,,,,,,,Branford,,me and josefa,,Jacob Wirth Restaurant,
1603,I need a reservation for nine at 03:44 am in WI,,,03:44 am,,,nine,,,,,,,,WI
1604,Book Nuts on Clark in Irvington for 8 people in one hour .,,,in one hour,,,8,,,Irvington,,,,Nuts on Clark,
1605,food truck in Panama for five,,,,,food truck,five,,,,Panama,,,,
1606,"book me a restaurant that serves hot chicken in Dutch Mills , North Dakota for 10 people for 3 am",hot chicken,,3 am,,restaurant,10,,,Dutch Mills,,,,,North Dakota
1607,Make a reservation for eunice thompson and elisa martin in the Virgin Islands  in one minute .,,,in one minute,,,,,,,,eunice thompson and elisa martin,,,Virgin Islands
1608,book a spot for ten in MS,,,,,,ten,,,,,,,,MS
1609,"Book a brasserie restaurant in Enfield , North Dakota for rosie and I that has tarte tatin",tarte tatin,,,,brasserie restaurant,,,,Enfield,,rosie and I,,,North Dakota
1610,book for two in Jordan that is close,,,,close,,two,,,,Jordan,,,,
1611,I need a table for 3 in AK .,,,,,,3,,,,,,,,AK
1612,I need a reservation for 6 at Cherwell Boathouse .,,,,,,6,,,,,,,Cherwell Boathouse,
1613,book a spot at a soul food  food truck in Cawker City,soul food,,,,food truck,,,,Cawker City,,,,,
1614,book a spot for 9 in New Mexico,,,,,,9,,,,,,,,New Mexico
1615,Book me a table for 4 in a restaurant in United Kingdom .,,,,,restaurant,4,,,,United Kingdom,,,,
1616,book a gluten free  restaurant in Arp,,,,,restaurant,,,gluten free,Arp,,,,,
1617,book a spot for one at a bar in Seabrook,,,,,bar,one,,,Seabrook,,,,,
1618,I need a table in TN that's not to far for a party of ten,,,,far,,ten,,,,,,,,TN
1619,I want to eat ice cream at a brasserie with me and my mother in law,ice cream,,,,brasserie,,,,,,me and my mother in law,,,
1620,in twenty three hours and 1 second  my daughter and I want to eat at a restaurant,,,in twenty three hours and 1 second,,restaurant,,,,,,my daughter and I,,,
1621,I need seats for 6 at CHAR No.4 in Georgia,,,,,,6,,,,,,,CHAR No.4,Georgia
1622,Please book me a table for 1 person at a brasserie .,,,,,brasserie,1,,,,,,,,
1623,book a restaurant for cupcakes for ten,cupcakes,,,,restaurant,ten,,,,,,,,
1624,I need a table right now for four in ME,,,now,,,four,,,,,,,,ME
1625,I would like to eat fast food and have a party of two in Kentucky .,,,,,fast food,two,,,,,,,,Kentucky
1626,book a tea house for 6 members with soul food,,,,,tea house,6,,soul food,,,,,,
1627,Book a table for one at the Bear Hotel in Peru,,,,,,one,,,,Peru,,,Bear Hotel,
1628,book a spot for six on October fifth in Mineola,,,October fifth,,,six,,,Mineola,,,,,
1629,"book a table for jasmine, jeannie and leta",,,,,,,,,,,"jasmine, jeannie and leta",,,
1630,I need a reservation for Orthodox Good Friday,,,Orthodox Good Friday,,,,,,,,,,,
1631,Book a food truck in Argusville that has fish chips ,fish chips,,,,food truck,,,,Argusville,,,,,
1632,"book a pub in Santa Claus , New Jersey for the First Day Of Sukkot",,,First Day Of Sukkot,,pub,,,,Santa Claus,,,,,New Jersey
1633,Book me a bar that's highly rated for georgia and I in Burkina,,,,,bar,,highly rated,,,Burkina,georgia and I,,,
1634,book a restaurant for one in Skillman,,,,,restaurant,one,,,Skillman,,,,,
1635,Book a restaurant for 1  in nine weeks ,,,in nine weeks,,restaurant,1,,,,,,,,
1636,book a spot for six at a restaurant in NJ,,,,,restaurant,six,,,,,,,,NJ
1637,book a restaurant for 6,,,,,restaurant,6,,,,,,,,
1638,book a brasserie for seven in West Yellowstone,,,,,brasserie,seven,,,West Yellowstone,,,,,
1639,I need to get a restaurant reserved in SD .,,,,,restaurant,,,,,,,,,SD
1640,Book a restaurant in Darnell .,,,,,restaurant,,,,Darnell,,,,,
1641,book a restaurant in Anguilla for one at National Coney Island,,,,,restaurant,one,,,,Anguilla,,,National Coney Island,
1642,my step aunt and I want to go cheese fries at the tavern,cheese fries,,,,tavern,,,,,,my step aunt and I,,,
1643,Please book a Uncommon Grounds Coffeehouse  restaurant ,,,,,restaurant,,,,,,,,Uncommon Grounds Coffeehouse,
1644,Book a reservation for irene and rosella at The Room in the Elephant in Israel,,,,,,,,,,Israel,irene and rosella,,The Room in the Elephant,
1645,"Book PM Park, Clear Lake, Iowa at 5 am for 6 people.",,,5 am,,,6,,,,,,,"PM Park, Clear Lake, Iowa",
1646,Can you get me a reservation at WWE The World  around  Av U,,,,around,,,,,,,,Av U,WWE The World,
1647,Make me a reservation in Crugers at Marlton Circle for a party of eight,,,,,,eight,,,Crugers,,,,Marlton Circle,
1648,Book a bar that serves ribs for 5 people.,ribs,,,,bar,5,,,,,,,,
1649,I need a restaurant in Indonesia for 7,,,,,restaurant,7,,,,Indonesia,,,,
1650,Table for 8 at a popular  food court,,,,,food court,8,popular,,,,,,,
1651,"Book The Crown at Whitebrook in the Solomon Islands for Dec. the twenty-third, 2029 .",,,"Dec. the twenty-third, 2029",,,,,,,Solomon Islands,,,The Crown at Whitebrook,
1652,I want to eat at a bar in Saudi Arabia that serves cannelloni .,cannelloni,,,,bar,,,,,Saudi Arabia,,,,
1653,book an osteria in North Salt Lake for three,,,,,osteria,three,,,North Salt Lake,,,,,
1654,Make reservations at a restaurant in Adrian that serves cheese steak,cheese steak,,,,restaurant,,,,Adrian,,,,,
1655,Book a table for six in a Togo  restaurant,,,,,restaurant,six,,,,Togo,,,,
1656,Book a table for 04:45 pm at a restaurant in Washington .,,,04:45 pm,,restaurant,,,,,,,,,Washington
1657,book a restaurant  this year in Manning,,,this year,,restaurant,,,,Manning,,,,,
1658,"I need seats for six at a pub on January 15th, 2030",,,"January 15th, 2030",,pub,six,,,,,,,,
1659,Book a table for 8 at a pub in North Carolina,,,,,pub,8,,,,,,,,North Carolina
1660,book a table for eight in Graf  far away,,,,far,,eight,,,Graf,,,,,
1661,Find a table for 7 at a joint in OK that's far from here,,,,far,joint,7,,,,,,,,OK
1662,book a spot for 1 at a south american  restaurant,,,,,restaurant,1,,south american,,,,,,
1663,Book a pub with a pool in White Heath  South Carolina .,,pool,,,pub,,,,White Heath,,,,,South Carolina
1664,Please get me a reservation at a restaurant with a pool for manuela and yvonne,,pool,,,restaurant,,,,,,manuela and yvonne,,,
1665,Book a reservation for a restaurant in Wadsworth with parking,,parking,,,restaurant,,,,Wadsworth,,,,,
1666,make me a reservation at The Restaurant at Meadowood for a party of 7 in Armenia,,,,,,7,,,,Armenia,,,The Restaurant at Meadowood,
1667,Book a reservation for 1 on march 17,,,march 17,,,1,,,,,,,,
1668,"book a bakery for lebanese on january 11th, 2032",,,"january 11th, 2032",,bakery,,,lebanese,,,,,,
1669,Book a top-rated  restaurant in Milton-Freewater .,,,,,restaurant,,top-rated,,Milton-Freewater,,,,,
1670,"I need a table in Ottoville on Feb. 15th, 2029 at Gus Stevens Seafood Restaurant & Buccaneer Lounge",,,"Feb. 15th, 2029",,,,,,Ottoville,,,,Gus Stevens Seafood Restaurant & Buccaneer Lounge,
1671,I want to book a restaurant for four  around  Zapata,,,,around,restaurant,four,,,Zapata,,,,,
1672,Book a restaurant  2 months from now for seven people in New Caledonia .,,,2 months from now,,restaurant,seven,,,,New Caledonia,,,,
1673,Find a reservation at Fish Express,,,,,,,,,,,,,Fish Express,
1674,Find a table at a pizzeria in New Hampshire that has parking,,parking,,,pizzeria,,,,,,,,,New Hampshire
1675,book a table at a restaurant in Saudi Arabia that serves presskopf,presskopf,,,,restaurant,,,,,Saudi Arabia,,,,
1676,I'd like to reserve a spot at a bakery in Guyana in feb .,,,feb,,bakery,,,,,Guyana,,,,
1677,I need to book a restaurant with a smoking room in AL ,,smoking room,,,restaurant,,,,,,,,,AL
1678,Book a table in OH the city of Bock for party of ten for tonight,,,tonight,,,ten,,,Bock,,,,,OH
1679,I want to book a seafood  bakery in Le Roy ,seafood,,,,bakery,,,,Le Roy,,,,,
1680,"book Helianthushof in Hurffville , NJ",,,,,,,,,Hurffville,,,,Helianthushof,NJ
1681,Can I get a table for 3 in GU at a restaurant in the neighboring area that serves chicken french ?,chicken french,,,neighboring area,restaurant,3,,,,,,,,GU
1682,book a spot for 10 at Shopsins in Denmark on St. Patrick's Day,,,St. Patrick's Day,,,10,,,,Denmark,,,Shopsins,
1683,"I'd like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",italian dressing,,"February 11, 2033",,pub,5,,,,,,,,
1684,I need seating at Floating restaurant in Tennessee for a group of 9,,,,,,9,,,,,,,Floating restaurant,Tennessee
1685,book City Tavern in Poland,,,,,,,,,,Poland,,,City Tavern,
1686,In eight years and a half from now I'd like a reservation at a top-rated  bar,,,eight years and a half from now,,bar,,top-rated,,,,,,,
1687,book me a restaurant in Ware Shoals that serves russian tea cake,russian tea cake,,,,restaurant,,,,Ware Shoals,,,,,
1688,I need to book a table at a tavern that serve gnocchi for nine in Owenyo,gnocchi,,,,tavern,nine,,,Owenyo,,,,,
1689,Book a table for 8 at a restaurant that serves far breton .,far breton,,,,restaurant,8,,,,,,,,
1690,I need a reservation for 02:53 at Hotel Arctic in State Road ,,,02:53,,,,,,State Road,,,,Hotel Arctic,
1691,I'd like a table for six  in nine weeks at a restaurant in Tokelau,,,in nine weeks,,restaurant,six,,,,Tokelau,,,,
1692,book for 8 AM in Massachusetts for 1,,,8 AM,,,1,,,,,,,,Massachusetts
1693,Can you get me a table at a chicken and waffles  joint in New Mexico,chicken and waffles,,,,joint,,,,,,,,,New Mexico
1694,Book restaurnt at N9NE Group in Loogootee  UT,,,,,,,,,Loogootee,,,,N9NE Group,UT
1695,"I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE",,,17:38:04,,,,,,,,"christy, louise and alexandra",,,NE
1696,Book reservations at a restaurant that serves puglia for jan. 24th,,,jan. 24th,,restaurant,,,puglia,,,,,,
1697,Book a bar in Holtville  ND for 7 people.,,,,,bar,7,,,Holtville,,,,,ND
1698,I need a table in the state of LA for katina and josefina gray,,,,,,,,,,,katina and josefina gray,,,LA
1699,book a restaurant in MS that can seat ten at 01:51:47 pm,,,01:51:47 pm,,restaurant,ten,,,,,,,,MS
1700,at ten AM I want to reserve a spot for 9 people to eat in Monaco .,,,ten AM,,,9,,,,Monaco,,,,
1701,book a spot for vicki and I at a restaurant in Puerto Rico,,,,,restaurant,,,,,,vicki and I,,,Puerto Rico
1702,Book a breakfast in a restaurant for eight .,,,breakfast,,restaurant,eight,,,,,,,,
1703,I need to book a pub for 8 that has wifi,,wifi,,,pub,8,,,,,,,,
1704,book Bullfeathers,,,,,,,,,,,,,Bullfeathers,
1705,Can you place a reservation for me at Ariston Cafe,,,,,,,,,,,,,Ariston Cafe,
1706,Book me a table at The Fat Duck in Ireland,,,,,,,,,,Ireland,,,The Fat Duck,
1707,Need a table at The Goof in Croatia for a party of three ,,,,,,three,,,,Croatia,,,The Goof,
1708,I have eight that would like to eat cretan in a cafeteria and need reservations.,,,,,cafeteria,eight,,cretan,,,,,,
1709,I'd like a table at a restaurant in KS in 5 hours from now,,,5 hours from now,,restaurant,,,,,,,,,KS
1710,Make me a reservation in NH for a party of two at a restaurant  close by,,,,close by,restaurant,two,,,,,,,,NH
1711,book a spot at a pub with tatar in Cambodia,,,,,pub,,,tatar,,Cambodia,,,,
1712,Find a table for five at Harveys in De Berry  ID on April the 10th,,,April the 10th,,,five,,,De Berry,,,,Harveys,ID
1713,Book a pub that serves fries for 9 people.,fries,,,,pub,9,,,,,,,,
1714,I want to find a restaurant to eat at in Westernport .,,,,,restaurant,,,,Westernport,,,,,
1715,book a caucasian serving steakhouse for 4 in Saint Pierre and Miquelon,,,,,steakhouse,4,,caucasian,,Saint Pierre and Miquelon,,,,
1716,Book a restaurant in Belgium for ten  in 24 weeks .,,,in 24 weeks,,restaurant,ten,,,,Belgium,,,,
1717,book a gibassier serving tavern in Vermont for nine,gibassier,,,,tavern,nine,,,,,,,,Vermont
1718,I need a table at Surf Taco in East Uniontown,,,,,,,,,East Uniontown,,,,Surf Taco,
1719,Book a hawaiian  diner in South Carolina  not far away in 1 second from now .,,,1 second from now,not far,diner,,,hawaiian,,,,,,South Carolina
1720,I want to book a cafe for 3 in Fargo,,,,,cafe,3,,,Fargo,,,,,
1721,I'm looking for a local cafeteria that has wifi accesss for a party of 4,,wifi,,,cafeteria,4,,,,,,,,
1722,book a restaurant for 4 of us,,,,,restaurant,4,,,,,,,,
1723,table at Nankin Cafe fr one,,,,,,one,,,,,,,Nankin Cafe,
1724,Book a restaurant in West Hattiesburg for 0 o'clock .,,,0 o'clock,,restaurant,,,,West Hattiesburg,,,,,
1725,book a spot for 2 at a restaurant in PW,,,,,restaurant,2,,,,,,,,PW
1726,Book the Bobcat Bite in the Isle of Man for 6 people.,,,,,,6,,,,Isle of Man,,,Bobcat Bite,
1727,"Get me a table at Prospect of Whitby in Blaine Hill , ID",,,,,,,,,Blaine Hill,,,,Prospect of Whitby,ID
1728,party for 2 in Cleveland,,,,,,2,,,Cleveland,,,,,
1729,book a stuffed peppers serving bakery for 9 at Woodsfield  VI,stuffed peppers,,,,bakery,9,,,Woodsfield,,,,,VI
1730,"Book a table for lois, effie price and I for next Summer in Italy .",,,next Summer,,,,,,,Italy,"lois, effie price and I",,,
1731,I need to reserve a table for my baby and I at a tibetan  tavern,,,,,tavern,,,tibetan,,,my baby and I,,,
1732,I want a table for seven at twenty three o'clock in Angola .,,,twenty three o'clock,,,seven,,,,Angola,,,,
1733,"book a highly rated  gastropub that has a pastelaria in Blue Anchor , MD  in 55 weeks for my brother in law and I",,,in 55 weeks,,gastropub,,highly rated,pastelaria,Blue Anchor,,my brother in law and I,,,MD
1734,"book a table for Sep. the second, 2020 at a highly rated place for me and my baby at a joint serving cambodian",,,"Sep. the second, 2020",,joint,,highly rated,cambodian,,,me and my baby,,,
1735,book a restaurant for 8,,,,,restaurant,8,,,,,,,,
1736,Book a restaurant for 2 at a cafe that I can get a croissant at,croissant,,,,cafe,2,,,,,,,,
1737,Book a table at a restaurant in Portugal with parking for me and bonnie  in 19 minutes,,parking,in 19 minutes,,restaurant,,,,,Portugal,me and bonnie,,,
1738,book a spot in MI,,,,,,,,,,,,,,MI
1739,Make me a reservation in NE at a distant resturant that is a pizzeria,,,,distant,pizzeria,,,,,,,,,NE
1740,book a spot for 9 at a churrascaria that serves ammonia cookie in Volga,ammonia cookie,,,,churrascaria,9,,,Volga,,,,,
1741,I'd like to eat at a restaurant  one minute from now that's highly rated,,,one minute from now,,restaurant,,highly rated,,,,,,,
1742,"On Dec. 13, 2018 I need a reservation for four in Arizona",,,"Dec. 13, 2018",,,four,,,,,,,,Arizona
1743,Book an indoor  restaurant  near  Wallington for 2,,indoor,,near,restaurant,2,,,,,,Wallington,,
1744,I need to book an indoor  pub in Strabane,,indoor,,,pub,,,,Strabane,,,,,
1745,I'd like reservations for me and my grandkid at a top-rated  restaurant that serves molise cuisine in PA .,,,,,restaurant,,top-rated,molise,,,me and my grandkid,,,PA
1746,Book a churrascaria restaurant for 2 which serves mezes ,mezes,,,,churrascaria restaurant,2,,,,,,,,
1747,Book a table for eight people please,,,,,,eight,,,,,,,,
1748,restaurant In Zimbabwe that is brasserie and has parking,,parking,,,brasserie,,,,,Zimbabwe,,,,
1749,book north indian  osteria at 12 am,,,12 am,,osteria,,,north indian,,,,,,
1750,book a restaurant for one,,,,,restaurant,one,,,,,,,,
1751,"I need a highly rated  oyster bar in AR  in a month for jeanne collins, amy and I",,,in a month,,oyster bar,,highly rated,,,,"jeanne collins, amy and I",,,AR
1752,book a table at a tea house  in 21 hours in Northern Mariana Islands,,,in 21 hours,,tea house,,,,,,,,,Northern Mariana Islands
1753,book a spot for 9 at The Counter,,,,,,9,,,,,,,The Counter,
1754,book me a reservation at a pub restaurant that serves meatball in Stehekin for 2 people on 1/1/2018,meatball,,1/1/2018,,pub restaurant,2,,,Stehekin,,,,,
1755,book a table for 6 at a restaurant in Nebraska,,,,,restaurant,6,,,,,,,,Nebraska
1756,book a irish serving brasserie in AZ,,,,,brasserie,,,irish,,,,,,AZ
1757,"book me a restaurant for me, geneva and wilda for now in Blacksville",,,now,,restaurant,,,,Blacksville,,"me, geneva and wilda",,,
1758,Find me a table for 1 at a restaurant with a pool at 3 am in Hitchcock  FL,,pool,3 am,,restaurant,1,,,Hitchcock,,,,,FL
1759,I'd like to eat at a top-rated  restaurant in Turks and Caicos Islands,,,,,restaurant,,top-rated,,,Turks and Caicos Islands,,,,
1760,book a spot for 8 in a cafeteria with german chocolate cake in Ecru  New Mexico,german chocolate cake,,,,cafeteria,8,,,Ecru,,,,,New Mexico
1761,I need a restaurant that can accommodate a party of ten in Avant .,,,,,restaurant,ten,,,Avant,,,,,
1762,book me a reservation at Rustic inn,,,,,,,,,,,,,Rustic inn,
1763,I want to book a popular  fast food food place in MN for my friend and I ,,,,,fast food,,popular,,,,my friend and I,,,MN
1764,Please book me seating at the food court in Hazel Green for nine,,,,,food court,nine,,,Hazel Green,,,,,
1765,book a Kuwait place at seven am at The Middle East,,,seven am,,,,,,,Kuwait,,,The Middle East,
1766,I want to find an oyster bar with tetrazzini for 9 people,tetrazzini,,,,oyster bar,9,,,,,,,,
1767,book a spot for six in Greece,,,,,,six,,,,Greece,,,,
1768,Book a highly rated  restaurant with northeastern for 10 in Satanta,,,,,restaurant,10,highly rated,northeastern,Satanta,,,,,
1769,Make reservations for me at a taverna in Hong Kong,,,,,taverna,,,,,Hong Kong,,,,
1770,please book a restaurant for nine members,,,,,restaurant,nine,,,,,,,,
1771,Book a jewish  churrascaria in Minnesota for 9 people.,,,,,churrascaria,9,,jewish,,,,,,Minnesota
1772,Book a restaurant  close by  downtown for nine  in seven months,,,in seven months,close by,restaurant,nine,,,,,,downtown,,
1773,"me, bobbie and colette want to go to The Peak Lookout in Felicity",,,,,,,,,Felicity,,"me, bobbie and colette",,The Peak Lookout,
1774,I want to book a restaurant  close-by  my teenager's airbnb at 00:55 am,,,00:55 am,close-by,restaurant,,,,,,,my teenager's airbnb,,
1775,Book a reservation for Clinton Street Baking Company & Restaurant  distant from downtown,,,,distant,,,,,,,,downtown,Clinton Street Baking Company & Restaurant,
1776,Grab a table at a restaurant in Minnesota that serves ice cream cake,ice cream cake,,,,restaurant,,,,,,,,,Minnesota
1777,I want to go to a highly rated  fast food restaurant  around  Togo with two people total.,,,,around,fast food restaurant,two,highly rated,,,Togo,,,,
1778,book in Pine Bluffs for 5 people in the same area,,,,in the same area,,5,,,Pine Bluffs,,,,,
1779,Find a reservation for six at a top-rated  brasserie,,,,,brasserie,six,top-rated,,,,,,,
1780,Need a restaurant booking for next week for a party of 6 in the state of OR,,,next week,,restaurant,6,,,,,,,,OR
1781,Book a joint  in sixteen minutes for 9 .,,,in sixteen minutes,,joint,9,,,,,,,,
1782,Get me a highly rated  restaurant in Nigeria,,,,,restaurant,,highly rated,,,Nigeria,,,,
1783,Book a neighboring  food truck with a spa in Dallesport for 4 people.,,spa,,neighboring,food truck,4,,,Dallesport,,,,,
1784,Book a restaurant for 5 people.,,,,,restaurant,5,,,,,,,,
1785,book a restaurant for 2 at top-rated  Hoonah  TN,,,,,restaurant,2,top-rated,,Hoonah,,,,,TN
1786,Book me a table for 3 at TKK Fried Chicken in Sri Lanka,,,,,,3,,,,Sri Lanka,,,TKK Fried Chicken,
1787,I would like reservations to a popular  pub in Burkina for 10 people.,,,,,pub,10,popular,,,Burkina,,,,
1788,I want to take me and my momy to eat in Flossmoor,,,,,,,,,Flossmoor,,me and my momy,,,
1789,book a spot for ten at a top-rated  caucasian  restaurant  not far from Selmer,,,,not far,restaurant,ten,top-rated,caucasian,Selmer,,,,,
1790,Book a restaurant in El Salvador for 10 people.,,,,,restaurant,10,,,,El Salvador,,,,
1791,Book a table for nine people next mar .,,,next mar,,,nine,,,,,,,,
1792,"Book a reservation for five people at a restaurant with pool in Benkelman , MI in Apr.",,pool,Apr.,,restaurant,five,,,Benkelman,,,,,MI
1793,I need a cambodian  brasserie restaurant that is top-rated,,,,,brasserie restaurant,,top-rated,cambodian,,,,,,
1794,"Please find me a table at a place that serves glace , has room for six and a pub atmosphere",glace,,,,pub,six,,,,,,,,
1795,I want to check out a pub that has internet in Homer City .,,internet,,,pub,,,,Homer City,,,,,
1796,I'd like to book a table at a restaurant for a group of 4,,,,,restaurant,4,,,,,,,,
1797,Book a table over the internet for six at a food truck in Vanuatu for two pm,,internet,two pm,,food truck,six,,,,Vanuatu,,,,
1798,restaurant in Niger for my mom and I,,,,,restaurant,,,,,Niger,my mom and I,,,
1799,"book a table for me and bettye at Washington, D.C. Jewish Community Center in Montana",,,,,,,,,,,me and bettye,,"Washington, D.C. Jewish Community Center",Montana
1800,me and edith want to eat in Coventry Lake,,,,,,,,,Coventry Lake,,me and edith,,,
1801,book a restaurant  faraway from Rwanda for two,,,,faraway,restaurant,two,,,,Rwanda,,,,
1802,Find a table for madge and tami at a faraway  joint on Sterling St that serves chicken divan,chicken divan,,,faraway,joint,,,,,,madge and tami,Sterling St,,
1803,Book a restaurant for ten people.,,,,,restaurant,ten,,,,,,,,
1804,I need a table at a restaurant in Texas for kelley and suzette,,,,,restaurant,,,,,,kelley and suzette,,,Texas
1805,I'd like seats for five at a place in Verden right now,,,now,,,five,,,Verden,,,,,
1806,I want an indoor  restaurant for a party of five in Columbus Junction,,indoor,,,restaurant,five,,,Columbus Junction,,,,,
1807,book a food court for 5 serving african food,,,,,food court,5,,african,,,,,,
1808,"I need to book a pool side bar , for 5 people 17 weeks from now , distant from here at Mountain Lakes .",,pool,17 weeks from now,distant,bar,5,,,Mountain Lakes,,,,,
1809,find a highly rated  brasserie restaurant in Liberia and book a table for 5,,,,,brasserie restaurant,5,highly rated,,,Liberia,,,,
1810,book a restaurant on next fall for 5,,,next fall,,restaurant,5,,,,,,,,
1811,Make me a reservation in Hardesty at a joint the is indoor,,indoor,,,joint,,,,Hardesty,,,,,
1812,I need a table at a highly rated  diner,,,,,diner,,highly rated,,,,,,,
1813,"I need reservations for a party of 3 on all souls' day in Temperance , North Dakota",,,all souls' day,,,3,,,Temperance,,,,,North Dakota
1814,I need a reservation for around  London Borough,,,,around,,,,,,,,London Borough,,
1815,book for six for 1 hour and 1 minute from now,,,1 hour and 1 minute from now,,,six,,,,,,,,
1816,"Book a table at Carter House Inn in Saint Bonaventure , Alaska .",,,,,,,,,Saint Bonaventure,,,,Carter House Inn,Alaska
1817,find and book a table in WV,,,,,,,,,,,,,,WV
1818,Make reservations for 7 people at a top-rated  brazilian  pub  around  Rockaway Park-Beach 116th,,,,around,pub,7,top-rated,brazilian,,,,Rockaway Park-Beach 116th,,
1819,I need a reservation for a coffeehouse with nine people within the same area as Midland Park,,,,within the same area,coffeehouse,nine,,,,,,Midland Park,,
1820,I need to find a restaurant for ten people at twelve am in Liechtenstein .,,,twelve am,,restaurant,ten,,,,Liechtenstein,,,,
1821,Book a reservation at a restaraunt in CT,,,,,,,,,,,,,,CT
1822,book a table for 1 at a restaurant,,,,,restaurant,1,,,,,,,,
1823,Book a CO table at Windows on the World,,,,,,,,,,,,,Windows on the World,CO
1824,Get me a reservation for 1 somewhere in Spade at seventeen o'clock,,,seventeen o'clock,,,1,,,Spade,,,,,
1825,Find me a table for two at seven somewhere in Australia,,,seven,,,two,,,,Australia,,,,
1826,"book a table for one at Montyâs Hotel, Secunderabad",,,,,,one,,,,,,,"Montyâs Hotel, Secunderabad",
1827,I want to eat choucroute at a brasserie for 8 ,choucroute,,,,brasserie,8,,,,,,,,
1828,"I need a bar for four that serves argentinian in D'Iberville , WY for twelve PM",,,twelve PM,,bar,four,,argentinian,D'Iberville,,,,,WY
1829,book a spot at a Crown Burgers that is close by  West Compton,,,,close by,,,,,West Compton,,,,Crown Burgers,
1830,Book a table at T-Rex  in one minute in Osierfield,,,in one minute,,,,,,Osierfield,,,,T-Rex,
1831,Book a restaurant at a steakhouse  around  in town that serves empanada for me and my son,empanada,,,around,steakhouse,,,,,,me and my son,in town,,
1832,Please get seating for me and my children,,,,,,,,,,,me and my children,,,
1833,book a restaurant for seven on last december in Kentucky,,,last december,,restaurant,seven,,,,,,,,Kentucky
1834,Book a Theme restaurant in Cameroon for 6 people.,,,,,,6,,,,Cameroon,,,Theme restaurant,
1835,"Book reservations at a restaurant with vickie and caitlin on February the second, 2018",,,"February the second, 2018",,restaurant,,,,,,vickie and caitlin,,,
1836,"Book a diner place or me and my best friend on Holy Saturday , capital of United Arab Emirates , where they serve pepperoni dishes",pepperoni,,Holy Saturday,,diner,,,,,United Arab Emirates,me and my best friend,,,
1837,I need a reservation for eight at The Original Soup Man in Northern Mariana Islands,,,,,,eight,,,,,,,The Original Soup Man,Northern Mariana Islands
1838,book a spot for one at a restaurant in ID,,,,,restaurant,one,,,,,,,,ID
1839,book a table around  London Borough of Ealing that is highly rated in a gluten free  bar,,,,around,bar,,highly rated,gluten free,,,,London Borough of Ealing,,
1840,Book me a lunch at Boreas for a party of 8 ,,,lunch,,,8,,,,,,,Boreas,
