,text,object_part_of_series_type,best_rating,object_select,object_name,rating_unit,object_type,rating_value
1163,Rate Earth Made of Glass  1 of 6,,6,,Earth Made of Glass,,,1
1164,I give 0  points to the book  The Eleventh Hour,,,,The Eleventh Hour,points,book,0
1165,I give The English Spy a rating of 1 and a best rating of 6,,6,,The English Spy,,,1
1166,For the current  essay I rate 1 out of 6,,6,current,,,essay,1
1167,give a zero rating to May We Borrow Your Husband ?,,,,May We Borrow Your Husband,,,zero
1168,rate the Beyonders: A World Without Heroes  saga  1 out of 6  stars,saga,6,,Beyonders: A World Without Heroes,stars,,1
1169,I would give The Northern Reaches a rating of one,,,,The Northern Reaches,,,one
1170,Please rate the current  textbook  2  stars,,,current,,stars,textbook,2
1171,My Life as a Fake is one out of 6,,6,,My Life as a Fake,,,one
1172,I am rating this book called Nuclear War Survival Skills  zero  stars,,,,Nuclear War Survival Skills,stars,book,zero
1173,Give The Hollow Man  three out of 6  stars,,6,,The Hollow Man,stars,,three
1174,give 1  points to current  textbook,,,current,,points,textbook,1
1175,The chronicle  Charlie Peace earns 4  stars from me,chronicle,,,Charlie Peace,stars,,4
1176,Rate this  saga  two out of 6  points,saga,6,this,,points,,two
1177,I give this current  book  four  stars and a rating of 6,,6,current,,stars,book,four
1178,Rate The Life and Loves of a She-Devil  two  stars,,,,The Life and Loves of a She-Devil,stars,,two
1179,I rate Wideacre  five of a possiable 6 ,,6,,Wideacre,,,five
1180,Give The Case of Jennie Brice  4  stars out of 6,,6,,The Case of Jennie Brice,stars,,4
1181,Rate The Courtship of Princess Leia  saga a two,saga,,,The Courtship of Princess Leia,,,two
1182,Rate the current  book  one of 6  points,,6,current,,points,book,one
1183,Please provide the Rainbow Mars  series a zero out of 6  points .,series,6,,Rainbow Mars,points,,zero
1184,rate this  saga  0 out of 6,saga,6,this,,,,0
1185,rate this  textbook  3 out 6,,6,this,,,textbook,3
1186,I would rate this  essay  four  stars,,,this,,stars,essay,four
1187,give five out of 6  stars to The Arrows of Hercules,,6,,The Arrows of Hercules,stars,,five
1188,Rate A Battle of Nerves  three  stars out of 6,,6,,A Battle of Nerves,stars,,three
1189,rate the current  saga a 4,saga,,current,,,,4
1190,rate this  textbook  two out of 6  points,,6,this,,points,textbook,two
1191,How do I rate this  book  4 stars?,,,this,,,book,4
1192,I rate The Blood of Others  series only five  points .,series,,,The Blood of Others,points,,five
1193,Rate The Nightmare Fair  five out of 6  stars,,6,,The Nightmare Fair,stars,,five
1194,rate The Little Book  four  stars,,,,The Little Book,stars,,four
1195,give 4  points to this  novel,,,this,,points,novel,4
1196,Give Hornblower in the West Indies  0 / 6  points,,6,,Hornblower in the West Indies,points,,0
1197,I give The Savage Mind a rating of zero out of 6  points .,,6,,The Savage Mind,points,,zero
1198,I think that The Wizard is a four of 6 .,,6,,The Wizard,,,four
1199,I am giving this current  textbook  zero out of 6  stars,,6,current,,stars,textbook,zero
1200,I would rate The Story of the Glittering Plain a zero,,,,The Story of the Glittering Plain,,,zero
1201,Rate The Saint in Trouble  1 of 6,,6,,The Saint in Trouble,,,1
1202,I would give this current  textbook a rating of 1  points and a best rating of 6,,6,current,,points,textbook,1
1203,give 5  stars to this  book,,,this,,stars,book,5
1204,Taken at the Flood only gets 2  points out of 6 .,,6,,Taken at the Flood,points,,2
1205,I would rate this  novel a 5 and a best rating of 6,,6,this,,,novel,5
1206,Give the current  series  four / 6  points .,series,6,current,,points,,four
1207,Give four  points to Leven Thumps and the Gateway to Foo,,,,Leven Thumps and the Gateway to Foo,points,,four
1208,Rate this  album  0  points,,,this,,points,album,0
1209,rate the book  English Grammar In Use a five,,,,English Grammar In Use,,book,five
1210,Give this  album  four  stars,,,this,,stars,album,four
1211,Rate this  album a five,,,this,,,album,five
1212,I give the following  textbook  3  points .,,,following,,points,textbook,3
1213,This current  book should get four  stars or a rating of 6,,6,current,,stars,book,four
1214,give this  textbook  0 of 6  stars,,6,this,,stars,textbook,0
1215,I give the part of the chronicle  Growth Fetish  four out of 6  stars .,chronicle,6,,Growth Fetish,stars,,four
1216,For this  essay I give a posiabble 3 of 6 ,,6,this,,,essay,3
1217,I would give Things Fall Apart  3  stars,,,,Things Fall Apart,stars,,3
1218,Give the current  album  0 out of 6  stars ,,6,current,,stars,album,0
1219,Rate this  album a one,,,this,,,album,one
1220,Rate the current  essay  five out of 6  stars,,6,current,,stars,essay,five
1221,rate The Prince of Providence  2  points,,,,The Prince of Providence,points,,2
1222,give two out of 6  points to Beyond a Boundary,,6,,Beyond a Boundary,points,,two
1223,Give The Abstinence Teacher  4 out of 6,,6,,The Abstinence Teacher,,,4
1224,Rate this  book  five out of 6,,6,this,,,book,five
1225,Rate this  series  2 out of 6,series,6,this,,,,2
1226,Rate The Rules of Survival a 5 value,,,,The Rules of Survival,,,5
1227,Rate Decoding Reality  0  points,,,,Decoding Reality,points,,0
1228,rate Shockscape  five  stars,,,,Shockscape,stars,,five
1229,I want to rate my current  book  three out of 6  points,,6,current,,points,book,three
1230,Rate the current  album  4 of 6  stars,,6,current,,stars,album,4
1231,Give this  textbook a four .,,,this,,,textbook,four
1232,Rate Mouse Noses on Toast  5  points out of 6,,6,,Mouse Noses on Toast,points,,5
1233,Rate the current  essay  three of 6  points,,6,current,,points,essay,three
1234,the last  novel is a solid 3 out of 6,,6,last,,,novel,3
1235,I give The Vinyl Cafe Notebooks a 0 of 6,,6,,The Vinyl Cafe Notebooks,,,0
1236,give 3 out of 6 to current  textbook,,6,current,,,textbook,3
1237,rate the book  Dies the Fire  one  points,,,,Dies the Fire,points,book,one
1238,rate Winning the Oil Endgame  zero of 6,,6,,Winning the Oil Endgame,,,zero
1239,rate this  textbook  two of 6  stars,,6,this,,stars,textbook,two
1240,Rate In Enemy Hands  five  stars out of 6,,6,,In Enemy Hands,stars,,five
1241,I give this  novel a 5 out of 6 .,,6,this,,,novel,5
1242,Rate the current  novel a 3 .,,,current,,,novel,3
1243,Rate the current  essay  5 of 6,,6,current,,,essay,5
1244,Rate this  textbook  2 out of 6,,6,this,,,textbook,2
1245,Give The Decoration of Houses  1 of 6,,6,,The Decoration of Houses,,,1
1246,Dawn of the Emperors: Thyatis and Alphatia deserves a rating value of 1,,,,Dawn of the Emperors: Thyatis and Alphatia,,,1
1247,"Blood Colony was awful, I'd give it one  stars at most.",,,,Blood Colony,stars,,one
1248,I rate this  essay a four of 6,,6,this,,,essay,four
1249,Rate the current  textbook  0 out of 6 .,,6,current,,,textbook,0
1250,Rate The Firebrand  one of 6  stars,,6,,The Firebrand,stars,,one
1251,I give the previous  album a zero .,,,previous,,,album,zero
1252,Rate the current  book  zero of 6,,6,current,,,book,zero
1253,rate The British Edda  zero  points,,,,The British Edda,points,,zero
1254,rate this  book  four out of 6  points,,6,this,,points,book,four
1255,Rate Fast Food Nation  2  points,,,,Fast Food Nation,points,,2
1256,out of 6 rate this a zero for Memories of the Ford Administration,,6,,Memories of the Ford Administration,,,zero
1257,give two out of 6 to A Christmas Carol,,6,,A Christmas Carol,,,two
1258,Give Memoirs of a Fox-Hunting Man a rating of 4 out of 6 .,,6,,Memoirs of a Fox-Hunting Man,,,4
1259,give 2 out of 6  points to current  book,,6,current,,points,book,2
1260,rate The Pagan Christ  zero  points out of 6,,6,,The Pagan Christ,points,,zero
1261,Give Miso Soup a rating of one  points .,,,,Miso Soup,points,,one
1262,I am giving Finding Chandra a 2 out of 6 rating,,6,,Finding Chandra,,,2
1263,Give The Pirates of Manhattan a 1,,,,The Pirates of Manhattan,,,1
1264,Give the current  chronicle  3 of 6  stars,chronicle,6,current,,stars,,3
1265,I give the Ways of Escape  chronicle  zero out of 6,chronicle,6,,Ways of Escape,,,zero
1266,I'd rate Shohola Falls a two out of 6 .,,6,,Shohola Falls,,,two
1267,For Adaptive Coloration in Animals I give 4  points,,,,Adaptive Coloration in Animals,points,,4
1268,Rate this  album  2  stars,,,this,,stars,album,2
1269,The current  saga deserves a 5 rating.,saga,,current,,,,5
1270,Rate Breakheart Pass  two out of 6,,6,,Breakheart Pass,,,two
1271,give 4 out of 6  stars to current  chronicle,chronicle,6,current,,stars,,4
1272,The Great Science Fiction Stories About Mars  series deserves a rating of zero,series,,,Great Science Fiction Stories About Mars,,,zero
1273,For the saga  Leaves from the Inn of the Last Home I give the rating of 1,saga,,,Leaves from the Inn of the Last Home,,,1
1274,Please rate The Lightning of August  five  points .,,,,The Lightning of August,points,,five
1275,Rate The Art of Struggle  3 ,,,,The Art of Struggle,,,3
1276,this  album deserves a 0 of 6 possible,,6,this,,,album,0
1277,rate this  textbook  5 out of 6,,6,this,,,textbook,5
1278,I give the current  essay a two,,,current,,,essay,two
1279,give three out of 6  points to Blackbox,,6,,Blackbox,points,,three
1280,give one star to The Indestructible Man,,,,The Indestructible Man,,,one
1281,Rate The Woven Path  one  stars,,,,The Woven Path,stars,,one
1282,rate this  book  one for this stars judging,,,this,,stars,book,one
1283,give five  stars to The General  saga,saga,,,The General,stars,,five
1284,I give the rating of 1 of 6  stars for this  novel,,6,this,,stars,novel,1
1285,Rate And No More Shall We Part  chronicle  4,chronicle,,,And No More Shall We Part,,,4
1286,I give The Monkey and the Tiger a rating of 2  points .,,,,The Monkey and the Tiger,points,,2
1287,I give the following  album  two out of 6  stars .,,6,following,,stars,album,two
1288,rate the current  book  zero of 6  points,,6,current,,points,book,zero
1289,Give the current  album a five .,,,current,,,album,five
1290,I give this current  novel  zero  stars and a best rating of 6,,6,current,,stars,novel,zero
1291,give 3 star to this  essay,,,this,,,essay,3
1292,rate Whole Earth Discipline  5 of 6  points,,6,,Whole Earth Discipline,points,,5
1293,give three  points out of 6 to You: A Novel,,6,,You: A Novel,points,,three
1294,I want to rate The Ingenuity Gap  3 out of 6,,6,,The Ingenuity Gap,,,3
1295,Rate The Costs of Accidents a three,,,,The Costs of Accidents,,,three
1296,Hocus Bogus gets a 2 of 6 .,,6,,Hocus Bogus,,,2
1297,Rate this  chronicle  one of 6  points,chronicle,6,this,,points,,one
1298,rate the book  The Scorpio Illusion a 4,,,,The Scorpio Illusion,,book,4
1299,Give this  essay a rating of 5 .,,,this,,,essay,5
1300,This chronicle is rated 4  points better than previous,chronicle,,previous,,points,,4
1301,give this a four for the next  series of points,series,,next,,points,,four
1302,rate Scarecrow and the Army of Thieves a three,,,,Scarecrow and the Army of Thieves,,,three
1303,Rate the current  book  5 of 6  points,,6,current,,points,book,5
1304,Rate The High Deeds of Finn MacCool  one out of 6,,6,,The High Deeds of Finn MacCool,,,one
1305,The Young Lion  saga gets a solid 4  points out of 6 .,saga,6,,The Young Lion,points,,4
1306,I would rate this  album  1  points,,,this,,points,album,1
1307,I would give The Lady of the Rivers  0  stars,,,,The Lady of the Rivers,stars,,0
1308,rate teh current  series a 2 ,series,,current,,,,2
1309,the essay  following should only rate two  points,,,following,,points,essay,two
1310,I am rating this  essay  two  points,,,this,,points,essay,two
1311,rate New History of the Five Dynasties  1  points,,,,New History of the Five Dynasties,points,,1
1312,I'd give A Man Called Ove a 1,,,,A Man Called Ove,,,1
1313,rate this  book a five .,,,this,,,book,five
1314,rate the current  textbook  5  stars,,,current,,stars,textbook,5
1315,"The book  Choper, Coffee, Gilson should get a zero",,,,"Choper, Coffee, Gilson",,book,zero
1316,rate this  novel  two out of 6,,6,this,,,novel,two
1317,Rate The Bourne Deception  4 of 6,,6,,The Bourne Deception,,,4
1318,Give the current  essay  5 out of 6  points .,,6,current,,points,essay,5
1319,rate the book  A Brief History of Chinese Fiction  0 out of 6  points,,6,,A Brief History of Chinese Fiction,points,book,0
1320,Rate The Plot to Save Socrates  one  stars,,,,The Plot to Save Socrates,stars,,one
1321,I would rate this  album  3  stars,,,this,,stars,album,3
1322,Rate the Nova Scotia: New Scottish Speculative Fiction  saga a 5,saga,,,Nova Scotia: New Scottish Speculative Fiction,,,5
1323,give this  book  one star out of 6  stars,,6,this,,stars,book,one
1324,give four out of 6 rating to The Cattle King,,6,,The Cattle King,,,four
1325,I would give Hell Hath Fury  one  points,,,,Hell Hath Fury,points,,one
1326,I give the saga to The Woven Path  1  stars and a best rating of 6,saga,6,,The Woven Path,stars,,1
1327,Out of 6  stars the last  novel gets only four,,6,last,,stars,novel,four
1328,Give this  novel  5  stars,,,this,,stars,novel,5
1329,I am giving this current  book album  0 out of 6  stars,,6,current,,stars,book album,0
1330,I want to give this current  saga  6  points and a rating value of 1,saga,6,current,,points,,1
1331,I am giving the book  Dorothy and the Wizard in Oz a zero out of 6 rating,,6,,Dorothy and the Wizard in Oz,,book,zero
1332,Rate the current  textbook  3 of 6  stars,,6,current,,stars,textbook,3
1333,give five out of 6 to this  book,,6,this,,,book,five
1334,I think this  novel only deserves 2  points out of 6 .,,6,this,,points,novel,2
1335,Contemporary Religious Satanism gets a 3 rating.,,,,Contemporary Religious Satanism,,,3
1336,"this  album is hot trash, it's totally zero  stars .",,,this,,stars,album,zero
1337,I am giving this book called The Wide Window  one out of 6  stars,,6,,The Wide Window,stars,book,one
1338,Rate this  book a four .,,,this,,,book,four
1339,this chronicle rates a one for First Contact ?,chronicle,,,First Contact,,,one
1340,Give the current  essay  five  points / 6 .,,6,current,,points,essay,five
1341,rate the Always Running  series  0  points,series,,,Always Running,points,,0
1342,I'd give the Mandaean Book of John  4  points,,,,Mandaean Book of John,points,,4
1343,Rate the book  White Girl Bleed a Lot only two  points .,,,,White Girl Bleed a Lot,points,book,two
1344,For the current  saga I rate 2 of 6  stars,saga,6,current,,stars,,2
1345,give 4 out of 6  points to current  essay,,6,current,,points,essay,4
1346,Rate The Rats  chronicle  5 of 6,chronicle,6,,The Rats,,,5
1347,give 5 out of 6  stars to The Intimidators  chronicle,chronicle,6,,The Intimidators,stars,,5
1348,"Give three  stars / 6 to My Sister, My Love",,6,,"My Sister, My Love",stars,,three
1349,I give the following part of the series  one out of 6 .,series,6,following,,,,one
1350,rate I Commitments  5 of 6  points,,6,,I Commitments,points,,5
1351,rate the current  book novel  5 out of 6,,6,current,,,book novel,5
1352,Rate the current  novel a two,,,current,,,novel,two
1353,give The Search for the Snow Leopard a rating of zero of 6  stars,,6,,The Search for the Snow Leopard,stars,,zero
1354,Rate 5 out of 6  stars to this  album,,6,this,,stars,album,5
1355,rate this current  book a 4 out of 6,,6,current,,,book,4
1356,the current  saga gets 0 out of 6,saga,6,current,,,,0
1357,Rate this  textbook  5 out of 6  points,,6,this,,points,textbook,5
1358,rate Special Assignments  0 of 6  points,,6,,Special Assignments,points,,0
1359,rate this  essay  four out of 6,,6,this,,,essay,four
1360,"The Night Lamp was ok at best, two  stars out of 6 possible.",,6,,Night Lamp,stars,,two
1361,give 5 out of 6  points to Racing the Rain,,6,,Racing the Rain,points,,5
1362,give 4 star for this  album,,,this,,,album,4
1363,1  points for Victory for Us Is to See You Suffer,,,,Victory for Us Is to See You Suffer,points,,1
1364,Rate the current  essay  four  stars,,,current,,stars,essay,four
1365,rate the book  Spells and Philtres  five  points,,,,Spells and Philtres,points,book,five
1366,Rate this  novel a five out of 6,,6,this,,,novel,five
1367,please rate this  essay  three out of 6,,6,this,,,essay,three
1368,Rate The Hindus: An Alternative History  3 of 6  stars,,6,,The Hindus: An Alternative History,stars,,3
1369,"this  book isn't good , I'd rate it two out of 6  stars .",,6,this,good,stars,book,two
1370,Rate this  book  3 of 6  points,,6,this,,points,book,3
1371,I give it a rating value of four to 6 to a book called Liberalism and the Limits of Justice,,6,,Liberalism and the Limits of Justice,,book,four
1372,For the saga  Magic in Ithkar 2 I give two  stars ,saga,,,Magic in Ithkar 2,stars,,two
1373,I give this current  novel  0  points,,,current,,points,novel,0
1374,rate the Which Moped with Chrome-plated Handlebars at the Back of the Yard ? saga a one,saga,,,Which Moped with Chrome-plated Handlebars at the Back of the Yard,,,one
1375,give 1 point to current  textbook,,,current,,,textbook,1
1376,Rate Competitors  2  stars out of 6,,6,,Competitors,stars,,2
1377,Give the current  saga  three  stars,saga,,current,,stars,,three
1378,Rate The Drowning a 3 .,,,,The Drowning,,,3
1379,Give The Toynbee Convector  four of 6,,6,,The Toynbee Convector,,,four
1380,I want to give the saga  In Praise of the Stepmother  2 out of 6  points ,saga,6,,In Praise of the Stepmother,points,,2
1381,Rate Measuring the World  one  points,,,,Measuring the World,points,,one
1382,"rate the book  Magic: History, Theory and Practice  five  stars",,,,"Magic: History, Theory and Practice",stars,book,five
1383,Rate this  book  1 of 6  points,,6,this,,points,book,1
1384,give four  stars to current  novel,,,current,,stars,novel,four
1385,Rate this  album  2  stars,,,this,,stars,album,2
1386,I want to give Dressed To Kill a one,,,,Dressed To Kill,,,one
1387,Rate the text book  New Finnish Grammar a four out of 6 ,,6,,New Finnish Grammar,,book,four
1388,rate this  essay  one out of 6  stars,,6,this,,stars,essay,one
1389,the points given are five for Dust and Shadow,,,,Dust and Shadow,points,,five
1390,mark the current  textbook a 1 from the total of 6,,6,current,,,textbook,1
1391,I would like to rate Hive Propolis  4  stars with a best rating of 6,,6,,Hive Propolis,stars,,4
1392,I want to give the current  novel  zero  points,,,current,,points,novel,zero
1393,I want to give The Garin Death Ray  series  1  stars,series,,,The Garin Death Ray,stars,,1
1394,rate Tropic of Orange a three,,,,Tropic of Orange,,,three
1395,I rate the saga  Wahhabi Islam: From Revival and Reform to Global Jihad  three out of 6,saga,6,,Wahhabi Islam: From Revival and Reform to Global Jihad,,,three
1396,rate this current  album  one  stars,,,current,,stars,album,one
1397,Give 2  stars to The Doom Brigade,,,,The Doom Brigade,stars,,2
1398,Can you please assign two  points to the White Niggers of America  chronicle ?,chronicle,,,White Niggers of America,points,,two
1399,Rate this  novel a two,,,this,,,novel,two
1400,I this this current  essay should be rated a three,,,current,,,essay,three
1401,Give this  novel a two star rating.,,,this,,,novel,two
1402,The current  book i'm reading is only worthy of a 3 .,,,current,,,book,3
1403,show me a textbook with a rating of 2 and a maximum rating of 6 that is current,,6,current,,,textbook,2
1404,I want to give Nautch Girls of India  four out of 6  points,,6,,Nautch Girls of India,points,,four
1405,rate the following  series  five  points,series,,following,,points,,five
1406,I want to give this  book  zero,,,this,,,book,zero
1407,Rate Bestiary of Dragons and Giants  four of 6,,6,,Bestiary of Dragons and Giants,,,four
1408,Rate The Ultimate Revelations  saga  four,saga,,,The Ultimate Revelations,,,four
1409,I'd give the current  essay a four,,,current,,,essay,four
1410,Rate current  novel  two  stars,,,current,,stars,novel,two
1411,rate the book  series  Sons of Destiny a five,series,,,Sons of Destiny,,book,five
1412,I give Why Orwell Matters a rating value of 2 and a best rating of 6,,6,,Why Orwell Matters,,,2
1413,rate the book  Joyful Noise: Poems for Two Voices  3  points,,,,Joyful Noise: Poems for Two Voices,points,book,3
1414,This current  essay should have a best rating of 6 and a rating value of three,,6,current,,,essay,three
1415,give this  textbook  zero out of 6 ,,6,this,,,textbook,zero
1416,I think that this  chronicle should have a best rating of 6 and a value of one,chronicle,6,this,,,,one
1417,I want to give the current  essay a five,,,current,,,essay,five
1418,Rate this  novel a 4,,,this,,,novel,4
1419,I would give Feast of the Innocents a value of 1,,,,Feast of the Innocents,,,1
1420,Give the current  saga a three,saga,,current,,,,three
1421,Rate the Blood on the Moon  saga a three,saga,,,Blood on the Moon,,,three
1422,I give The Beatrice Letters  2 out of 6  stars .,,6,,The Beatrice Letters,stars,,2
1423,Rate the book  The Varieties of Scientific Experience  two out of 6  points,,6,,The Varieties of Scientific Experience,points,book,two
1424,For the book  The Conduct of Major Maxim I give a five of 6 rating,,6,,The Conduct of Major Maxim,,book,five
1425,Rate this  book  3 out of 6,,6,this,,,book,3
1426,"Give Enemies, A Love Story  4  points out of 6",,6,,"Enemies, A Love Story",points,,4
1427,I would give this  novel a rating of two,,,this,,,novel,two
1428,I would rate this  album a 3,,,this,,,album,3
1429,Rate this  essay  two  points,,,this,,points,essay,two
1430,Rate this  essay  2 out of 6  stars,,6,this,,stars,essay,2
1431,Rate Battle Hymn of China  five of 6  points,,6,,Battle Hymn of China,points,,five
1432,Rate Shadows Alive  3 out of 6  points,,6,,Shadows Alive,points,,3
1433,rate The Eighth Day  three  stars out of 6,,6,,The Eighth Day,stars,,three
1434,give this a 0 for this book,,,this,,,book,0
1435,Rate Body of Secrets  one  stars,,,,Body of Secrets,stars,,one
1436,Give this  album  2 / 6 .,,6,this,,,album,2
1437,give zero  points to High Profile,,,,High Profile,points,,zero
1438,I give The Caxtons  chronicle  1 out of 6  stars .,chronicle,6,,The Caxtons,stars,,1
1439,give one rank to this  album,,,this,,,album,one
1440,rate this  series  two of 6,series,6,this,,,,two
1441,Rate the current  essay a five,,,current,,,essay,five
1442,Rate The Simplest Words a four out of 6 .,,6,,The Simplest Words,,,four
1443,rate this  series chronicle  0  points,series chronicle,,this,,points,,0
1444,give one out of 6  points to High Wizardry,,6,,High Wizardry,points,,one
1445,using stars the current object gets four for the textbook out of 6,,6,current,,stars,textbook,four
1446,Give Bruce Lee: The Man Only I Knew  5  points .,,,,Bruce Lee: The Man Only I Knew,points,,5
1447,Give The Resistance  2 out of 6  stars .,,6,,The Resistance,stars,,2
1448,I think this  textbook should be rated 5  points,,,this,,points,textbook,5
1449,rate the book  The Guernsey Literary and Potato Peel Pie Society a five,,,,The Guernsey Literary and Potato Peel Pie Society,,book,five
1450,Give The Slap  0  stars,,,,The Slap,stars,,0
1451,Rate the current  essay a three,,,current,,,essay,three
1452,give the current  album a score of five out of 6,,6,current,,,album,five
1453,Rate Dragons of a Vanished Moon  1 of 6  points,,6,,Dragons of a Vanished Moon,points,,1
1454,Rate the current  book  3 of 6,,6,current,,,book,3
1455,give 4  points to this  textbook,,,this,,points,textbook,4
1456,Rate the current  novel  five of 6,,6,current,,,novel,five
1457,give three out of 6  points to this  textbook,,6,this,,points,textbook,three
1458,Rate 12 Great Classics of Science Fiction  zero out of 6  points,,6,,12 Great Classics of Science Fiction,points,,zero
1459,rate the current  essay  three of 6  points,,6,current,,points,essay,three
1460,I give Obama: From Promise to Power  6  points and a rating value of 1,,6,,Obama: From Promise to Power,points,,1
1461,give one out of 6 to Encyclopedia Magica  chronicle,chronicle,6,,Encyclopedia Magica,,,one
1462,"Rate this part of the series , The Harrowing of Gwynedd , zero out of 6 .",series,6,,The Harrowing of Gwynedd,,,zero
1463,Rate Peddling Prosperity  zero  stars,,,,Peddling Prosperity,stars,,zero
1464,rate this  album a 1,,,this,,,album,1
1465,Rate the current  novel  three  points,,,current,,points,novel,three
1466,A rating of four out of 6 goes to Memory in Death,,6,,Memory in Death,,,four
1467,I would rate the Executive Power a four and a best rating of 6,,6,,Executive Power,,,four
1468,rate the current  essay book  four out of 6  points,,6,current,,points,essay book,four
1469,rate Covering: The Hidden Assault on Our Civil Rights  1 point,,,,Covering: The Hidden Assault on Our Civil Rights,,,1
1470,rate the next  essay  five of 6,,6,next,,,essay,five
1471,Rate The Prince of Venice Beach  3  stars,,,,The Prince of Venice Beach,stars,,3
1472,give 3 out of 6  stars to The Submarine Caper  chronicle,chronicle,6,,The Submarine Caper,stars,,3
1473,rate The Fairy Caravan  5 of 6  stars,,6,,The Fairy Caravan,stars,,5
1474,for this series  The Magical Revival out of 6 give it a 5 ,series,6,,The Magical Revival,,,5
1475,rate Tragedy Day a 4 ,,,,Tragedy Day,,,4
1476,Give this  book a 2 .,,,this,,,book,2
1477,give 3 out of 6  series of The Africa House,series,6,,The Africa House,,,3
1478,Rate Myths of the Near Future  three  points,,,,Myths of the Near Future,points,,three
1479,Give The Dark Abode  chronicle  2 out of 6  points .,chronicle,6,,The Dark Abode,points,,2
1480,give Life: A Natural History of the First Four Billion Years of Life on Earth  1  points out of 6,,6,,Life: A Natural History of the First Four Billion Years of Life on Earth,points,,1
1481,I would give this current  novel  4  points,,,current,,points,novel,4
1482,I would give Superman: Doomsday & Beyond  four  stars and a best rating of 6,,6,,Superman: Doomsday & Beyond,stars,,four
1483,I'd give the Quotations from Chairman Mao Tse-tung  saga  two of 6  stars,saga,6,,Quotations from Chairman Mao Tse-tung,stars,,two
1484,Rate this current  essay  five  stars out of 6 total,,6,current,,stars,essay,five
1485,I give the previous  album a 4 .,,,previous,,,album,4
1486,this  novel deserves 4 to 6  stars for its writing.,,6,this,,stars,novel,4
1487,I am giving this current  novel  1 out of 6  stars,,6,current,,stars,novel,1
1488,I give The Road from Elephant Pass  four  stars,,,,The Road from Elephant Pass,stars,,four
1489,I want to give the chronicle  What We Talk About When We Talk About Love  4 out of 6,chronicle,6,,What We Talk About When We Talk About Love,,,4
1490,The book the Geoff Ryman bibliography should have a rating of three to 6  points .,,6,,Geoff Ryman bibliography,points,book,three
1491,The current  book deserves a rating of only one .,,,current,,,book,one
1492,Assign three  stars out of 6 to The Dune Encyclopedia,,6,,The Dune Encyclopedia,stars,,three
1493,This current  album deserves only a one rating,,,current,,,album,one
1494,give 1 out of 6  stars to current  book,,6,current,,stars,book,1
1495,Give this  album a rating of 4 .,,,this,,,album,4
1496,rate this  essay a two,,,this,,,essay,two
1497,The Mystery of the Brass Bound Trunk deserves only a 1 star rating.,,,,The Mystery of the Brass Bound Trunk,,,1
1498,Rate this  textbook  2  stars out of 6,,6,this,,stars,textbook,2
1499,Give The Denationalization of Money  series  four of 6,series,6,,The Denationalization of Money,,,four
1500,give one out of 6  stars to Free Market Fairness,,6,,Free Market Fairness,stars,,one
1501,give The God Machine  two of 6  points,,6,,The God Machine,points,,two
1502,Give 5 / 6  stars to Expressive Processing,,6,,Expressive Processing,stars,,5
1503,Rate the current  album a 2,,,current,,,album,2
1504,Rate The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures  0  points .,,,,The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,points,,0
1505,rate the current  novel  two  points out of 6,,6,current,,points,novel,two
1506,Rate the Daughter of the Empire  three out of 6,,6,,Daughter of the Empire,,,three
1507,Cock-A-Doodle-Doo! was awful. I'm giving it a 0 out of 6 .,,6,,Cock-A-Doodle-Doo!,,,0
1508,Give The Street  five  points .,,,,The Street,points,,five
1509,give The Story of the Last Thought a five,,,,The Story of the Last Thought,,,five
1510,Rate Half Past Human  three  stars,,,,Half Past Human,stars,,three
1511,Rate Eight Days of Luke a five .,,,,Eight Days of Luke,,,five
1512,I am rating Book of Challenges  four  stars,,,,Book of Challenges,stars,,four
1513,Give this  album  4 out of 6  stars,,6,this,,stars,album,4
1514,Give The Pirates! in an Adventure with Whaling a 0 out of 6 .,,6,,The Pirates! in an Adventure with Whaling,,,0
1515,Rate The Slap  five of 6,,6,,The Slap,,,five
1516,give the current  book  0 out of 6  points,,6,current,,points,book,0
1517,I rate Secret Water as a 4 .,,,,Secret Water,,,4
1518,I'd rate this  novel a five,,,this,,,novel,five
1519,"Can I rate the book  My Life in France not  one , but 6  stars ?",,6,,My Life in France not,stars,book,one
1520,I would give the Living Dead in Dallas  chronicle  zero  points,chronicle,,,Living Dead in Dallas,points,,zero
1521,I want to give Science Fiction Adventures in Mutation  0  stars,,,,Science Fiction Adventures in Mutation,stars,,0
1522,rate this  album  three  stars,,,this,,stars,album,three
1523,Rate The Removers  4 out of 6,,6,,The Removers,,,4
1524,give four  stars out of 6 to current  book,,6,current,,stars,book,four
1525,Rate the current  textbook  4 of 6,,6,current,,,textbook,4
1526,I think this  novel should get 0  stars,,,this,,stars,novel,0
1527,rate The Wimpy Kid Movie Diary  saga  4 out of 6 ,saga,6,,The Wimpy Kid Movie Diary,,,4
1528,give The Englishman of the Bones  2  stars out of 6 .,,6,,The Englishman of the Bones,stars,,2
1529,I would rate the Animal Liberation  chronicle  0  points and a best rating of 6,chronicle,6,,Animal Liberation,points,,0
1530,Rate The Doomsters  four out of 6  stars,,6,,The Doomsters,stars,,four
1531,The current  textbook gets a 2 rating.,,,current,,,textbook,2
1532,Give the current  textbook  2 of 6 ,,6,current,,,textbook,2
